What anatomical region contains the Transsphenoidal Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What structures does the Transsphenoidal Approach provide access to?	Sellar Region, Pituitary Gland	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What is the Combined Petrosal Approach?	Kawase + posterior petrosectomy, full petroclival exposure	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What anatomical region contains the Combined Petrosal Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What structures does the Combined Petrosal Approach provide access to?	Clivus, Petrous Apex	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What is the Interhemispheric Approach?	Midline corridor, ACoA/ACA, transcallosal	rhoton::approach rhoton::surgical-technique rhoton::anterior-circulation
What anatomical region contains the Interhemispheric Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::anterior-circulation
What structures does the Interhemispheric Approach provide access to?	Anterior Cerebral Artery, Corpus Callosum, Lateral And Third Ventricles	rhoton::approach rhoton::surgical-technique rhoton::anterior-circulation
What is the Telovelar Approach?	Fourth ventricle via cerebellomedullary fissure	rhoton::approach rhoton::surgical-technique rhoton::posterior-fossa
What anatomical region contains the Telovelar Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::posterior-fossa
What structures does the Telovelar Approach provide access to?	Fourth Ventricle, Cerebellomedullary Fissure	rhoton::approach rhoton::surgical-technique rhoton::posterior-fossa
What is the Orbitozygomatic Approach?	Extended pterional, low-angle basilar access	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What anatomical region contains the Orbitozygomatic Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What structures does the Orbitozygomatic Approach provide access to?	Basilar Artery, Interpeduncular Cistern	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What is the Posterior Petrosectomy?	Retrolabyrinthine, translabyrinthine, transcochlear, combined petrosal	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What anatomical region contains the Posterior Petrosectomy?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What structures does the Posterior Petrosectomy provide access to?	Temporal Bone, Cerebellopontine Cistern	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What is the Anterior Petrosectomy (Kawase Approach)?	Kawase triangle, lateral clivus exposure	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What anatomical region contains the Anterior Petrosectomy (Kawase Approach)?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What structures does the Anterior Petrosectomy (Kawase Approach) provide access to?	Petrous Apex, Clivus	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What is the Subtemporal Approach?	Middle incisural space, basilar apex, tentorial division	rhoton::approach rhoton::surgical-technique rhoton::tentorial-incisura
What anatomical region contains the Subtemporal Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::tentorial-incisura
What structures does the Subtemporal Approach provide access to?	Ambient Cistern, Tentorial Incisura	rhoton::approach rhoton::surgical-technique rhoton::tentorial-incisura
What is the Endoscopic Endonasal Approach?	Expanded endonasal, modular skull base corridors	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What anatomical region contains the Endoscopic Endonasal Approach?	Surgical Approaches Overview	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What structures does the Endoscopic Endonasal Approach provide access to?	Sellar Region, Clivus, Paranasal Sinuses	rhoton::approach rhoton::surgical-technique rhoton::skull-base
What is the Posterior Circulation?	Vertebrobasilar hierarchy, perforators, territories	rhoton::anatomy rhoton::vasculature rhoton::posterior-circulation
What is the Perforating Arteries?	Complete perforator map, surgical rules	rhoton::anatomy rhoton::vasculature rhoton::perforators
What is the Deep Venous System?	ICV/basal/galenic architecture, surgical obstacle map	rhoton::anatomy rhoton::venous-system rhoton::synthesis
What is the Cistern-Approach Map?	Complete cistern-to-corridor mapping, master matrix	rhoton::synthesis rhoton::cisterns rhoton::surgical-approaches
What is the Surgical Approaches Overview?	Approach-target matrix, selection principles	rhoton::approach rhoton::surgical-technique rhoton::synthesis
What is the Cranial Nerves Overview?	CN I-XII map, cisternal course, compression syndromes	rhoton::anatomy rhoton::cranial-nerves rhoton::synthesis
What is the Sylvian Fissure?	Most important surgical corridor, MCA and venous contents	rhoton::anatomy rhoton::surgical-corridor rhoton::cerebral-hemispheres
Surgical significance of the Sylvian Fissure?	The transsylvian approach is one of the most versatile corridors in neurosurgery. Structures accessible via the sylvian fissure include:	rhoton::anatomy rhoton::surgical-corridor rhoton::cerebral-hemispheres
What is the Microsurgical Anatomy Principles?	Rhoton's 6 axioms, cistern corridors, perforator rules	rhoton::synthesis rhoton::surgical-principles rhoton::cisterns
What is the Aneurysm Surgery?	Site-approach-perforator map, CN relationships, clipping	rhoton::synthesis rhoton::surgical-technique rhoton::vasculature
What is the Neurovascular Compression Syndromes?	MVD anatomy, REZ zones, offending vessels	rhoton::synthesis rhoton::cranial-nerves rhoton::microvascular-decompression
What is the Skull Base Foramina?	Complete foraminal map by fossa	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What is the Herniation Syndromes?	Uncal, central, tonsillar, subfalcine, ascending	rhoton::anatomy rhoton::clinical rhoton::tentorial-incisura
What is the Anterior Circulation?	ICA-MCA-ACA hierarchy, perforators, lenticulostriates	rhoton::anatomy rhoton::vasculature rhoton::anterior-circulation
What is the Cerebral Lobes?	Frontal/temporal/parietal/occipital, functional-vascular correlation	rhoton::anatomy rhoton::cerebrum rhoton::synthesis
What is the Cavernous Sinus Triangles?	7 surgical windows, Parkinson/Kawase/Glasscock	rhoton::anatomy rhoton::skull-base rhoton::surgical-technique
What is the Circle of Willis?	Cerebral arterial circle, variants, aneurysm sites	rhoton::anatomy rhoton::vasculature rhoton::anterior-circulation
What is the Craniocervical Junction?	CVJ osseous/ligamentous framework, approach selection	rhoton::anatomy rhoton::synthesis rhoton::skull-base
What is the Cavernous Sinus Contents?	Lateral wall nerve order, surgical triangles	rhoton::anatomy rhoton::skull-base rhoton::cranial-nerves
What is the Meckel's Cave?	Trigeminal ganglion housing, paraclival triangles	rhoton::anatomy rhoton::skull-base rhoton::cranial-nerves
What anatomical region contains the Meckel's Cave?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::cranial-nerves
Surgical significance of the Meckel's Cave?	- **Percutaneous procedures** — balloon compression, radiofrequency rhizotomy, and glycerol injection access the ganglion in Meckel's cave through the foramen ovale	rhoton::anatomy rhoton::skull-base rhoton::cranial-nerves
What is the Sellar Region?	Pituitary fossa, transsphenoidal and transcranial approaches	rhoton::anatomy rhoton::skull-base rhoton::pituitary
What anatomical region contains the Sellar Region?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::pituitary
What is the Optic Canal?	Optic strut, sphenoid sinus relation, nerve decompression	rhoton::anatomy rhoton::skull-base rhoton::surgical-landmark
What anatomical region contains the Optic Canal?	Sphenoid Bone	rhoton::anatomy rhoton::skull-base rhoton::surgical-landmark
Surgical significance of the Optic Canal?	Unroofing the optic canal by drilling the superior wall is performed for:	rhoton::anatomy rhoton::skull-base rhoton::surgical-landmark
What is the Anterior and Middle Cranial Base?	Anterior and middle cranial fossae, foramina	rhoton::anatomy rhoton::skull-base rhoton::rhoton
Surgical significance of the Anterior and Middle Cranial Base?	- Anterior skull base approaches for olfactory groove and planum meningiomas, esthesioneuroblastomas	rhoton::anatomy rhoton::skull-base rhoton::rhoton
What is the Ambient Cistern?	Perimesencephalic corridor, PCA/basal vein, middle incisural space	rhoton::cistern rhoton::tentorial-incisura rhoton::posterior-cerebral-artery
What anatomical region contains the Ambient Cistern?	Basal Cisterns	rhoton::cistern rhoton::tentorial-incisura rhoton::posterior-cerebral-artery
Surgical significance of the Ambient Cistern?	- The [[subtemporal-approach]] provides direct access to the ambient cistern by elevating the temporal lobe	rhoton::cistern rhoton::tentorial-incisura rhoton::posterior-cerebral-artery
What is the Thalamus?	Central relay, thalamoperforating supply, choroidal fissure	rhoton::anatomy rhoton::deep-structures rhoton::diencephalon
What anatomical region contains the Thalamus?	Cerebrum	rhoton::anatomy rhoton::deep-structures rhoton::diencephalon
Surgical significance of the Thalamus?	Intrinsic thalamic gliomas are among the most challenging surgical targets. Approaches include:	rhoton::anatomy rhoton::deep-structures rhoton::diencephalon
What is the Paraclinoid Internal Carotid Artery?	Dural rings, clinoid space, carotid cave aneurysms, clinoidectomy	rhoton::internal-carotid-artery rhoton::anterior-clinoid rhoton::dural-rings
What anatomical region contains the Paraclinoid Internal Carotid Artery?	Internal Carotid Artery	rhoton::internal-carotid-artery rhoton::anterior-clinoid rhoton::dural-rings
Surgical significance of the Paraclinoid Internal Carotid Artery?	- Required for exposure of the clinoid segment and paraclinoid aneurysms	rhoton::internal-carotid-artery rhoton::anterior-clinoid rhoton::dural-rings
What is the Pineal Region?	Quadrigeminal cistern, deep venous confluence, pineal tumors	rhoton::anatomy rhoton::deep-structures rhoton::surgical-target
What is the Falx Cerebri?	Dural fold, sagittal sinuses, subfalcine herniation	rhoton::anatomy rhoton::dura rhoton::surgical-landmark
Surgical significance of the Falx Cerebri?	The falx is the medial boundary during interhemispheric approaches. The surgeon works lateral to the falx in the longitudinal fissure. Key considerations:	rhoton::anatomy rhoton::dura rhoton::surgical-landmark
What is the White Matter Tracts?	Association, commissural, projection fibers, fiber dissection	rhoton::anatomy rhoton::cerebrum rhoton::white-matter
Surgical significance of the White Matter Tracts?	Subcortical stimulation during awake craniotomy identifies the corticospinal tract (motor response), arcuate fasciculus (language arrest), IFOF (semantic paraphasias), and optic radiation (phosphenes).	rhoton::anatomy rhoton::cerebrum rhoton::white-matter
What is the Choroid Plexus?	CSF production, choroidal fissure, dual arterial supply	rhoton::anatomy rhoton::ventricles rhoton::deep-structures
What anatomical region contains the Choroid Plexus?	Lateral And Third Ventricles	rhoton::anatomy rhoton::ventricles rhoton::deep-structures
Surgical significance of the Choroid Plexus?	- **Choroid plexus papillomas** — benign, CSF-overproducing tumors; most common in the atrium (glomus) in children and the [[fourth-ventricle]] in adults	rhoton::anatomy rhoton::ventricles rhoton::deep-structures
What is the Internal Auditory Canal?	Bill's bar, fundus quadrants, schwannoma staging	rhoton::anatomy rhoton::skull-base rhoton::temporal-bone
What anatomical region contains the Internal Auditory Canal?	Temporal Bone	rhoton::anatomy rhoton::skull-base rhoton::temporal-bone
What is the Jugular Foramen?	Pars nervosa/vascularis, CN IX-XI transit, glomus tumors	rhoton::anatomy rhoton::skull-base rhoton::posterior-fossa
What anatomical region contains the Jugular Foramen?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::posterior-fossa
What is the Velum Interpositum?	Tela choroidea cistern, ICV corridor, pineal access	rhoton::cistern rhoton::third-ventricle rhoton::deep-venous-system
What anatomical region contains the Velum Interpositum?	Lateral And Third Ventricles	rhoton::cistern rhoton::third-ventricle rhoton::deep-venous-system
Surgical significance of the Velum Interpositum?	- Via [[interhemispheric-approach]] → callosotomy → open the velum interpositum from above	rhoton::cistern rhoton::third-ventricle rhoton::deep-venous-system
What is the Anterior Clinoid Process?	Clinoidectomy, dural rings, optic strut, paraclinoid ICA	rhoton::anatomy rhoton::skull-base rhoton::surgical-landmark
What anatomical region contains the Anterior Clinoid Process?	Sphenoid Bone	rhoton::anatomy rhoton::skull-base rhoton::surgical-landmark
What is the Posterior Fossa Veins?	Superior, anterior, and posterior drainage groups	rhoton::anatomy rhoton::vasculature rhoton::venous-system
What anatomical region contains the Posterior Fossa Veins?	Posterior Fossa	rhoton::anatomy rhoton::vasculature rhoton::venous-system
Surgical significance of the Posterior Fossa Veins?	- The **[[superior-petrosal-vein]]** (vein of Dandy) is the most important surgical landmark — it crosses the operative corridor in retrosigmoid approaches and may need to be divided for access to CN V	rhoton::anatomy rhoton::vasculature rhoton::venous-system
What is the Lamina Terminalis?	Third ventricle anterior wall, ACoA landmark, CSF drainage	rhoton::anatomy rhoton::deep-structures rhoton::surgical-landmark
Surgical significance of the Lamina Terminalis?	Opening the lamina terminalis is a standard neurosurgical maneuver for:	rhoton::anatomy rhoton::deep-structures rhoton::surgical-landmark
What is the Lateral and Third Ventricles?	Ventricular anatomy, choroidal fissure, surgical approaches	rhoton::anatomy rhoton::ventricles rhoton::deep-structures
What is the Cerebrum?	Hemispheric organization, deep landmarks, surgical corridors	rhoton::anatomy rhoton::cerebral-hemispheres rhoton::cortex
What is the Cerebellopontine Cistern?	CP angle anatomy, CN V-VIII, AICA	rhoton::anatomy rhoton::cisterns rhoton::posterior-fossa
What anatomical region contains the Cerebellopontine Cistern?	Posterior Fossa	rhoton::anatomy rhoton::cisterns rhoton::posterior-fossa
What is the Suboccipital Triangle?	V3 vertebral artery landmark, far-lateral roadmap	rhoton::anatomy rhoton::posterior-fossa rhoton::foramen-magnum
What anatomical region contains the Suboccipital Triangle?	Craniocervical Junction	rhoton::anatomy rhoton::posterior-fossa rhoton::foramen-magnum
Surgical significance of the Suboccipital Triangle?	The suboccipital triangle is the surgical roadmap:	rhoton::anatomy rhoton::posterior-fossa rhoton::foramen-magnum
What is the Basal Ganglia and Internal Capsule?	Lenticulostriate territory, internal capsule, DBS targets	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What anatomical region contains the Basal Ganglia and Internal Capsule?	Cerebrum	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
Surgical significance of the Basal Ganglia and Internal Capsule?	Basal ganglia (putaminal) hemorrhage is the most common hypertensive intracerebral hemorrhage. Blood dissects through the lentiform nucleus and internal capsule. Surgical evacuation via transsylvian ([[pterional-approach]]) or transcortical approaches.	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What is the Brainstem?	Midbrain, pons, medulla; neurovascular complexes, safe entry zones	rhoton::anatomy rhoton::brainstem rhoton::posterior-fossa
What anatomical region contains the Brainstem?	Posterior Fossa	rhoton::anatomy rhoton::brainstem rhoton::posterior-fossa
Surgical significance of the Brainstem?	The brainstem has recognized "safe entry zones" where surgical access causes minimal damage:	rhoton::anatomy rhoton::brainstem rhoton::posterior-fossa
What is the Fornix?	Hippocampal efferent arc, foramen of Monro landmark, memory circuit	rhoton::white-matter rhoton::limbic-system rhoton::lateral-ventricle
What anatomical region contains the Fornix?	Cerebrum	rhoton::white-matter rhoton::limbic-system rhoton::lateral-ventricle
Surgical significance of the Fornix?	- Access to the [[lateral-and-third-ventricles|third ventricle]] via the choroidal fissure between the fornix and [[thalamus]]	rhoton::white-matter rhoton::limbic-system rhoton::lateral-ventricle
What is the Infratemporal Fossa?	V3 territory, maxillary artery, pterygoid plexus	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What anatomical region contains the Infratemporal Fossa?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
Surgical significance of the Infratemporal Fossa?	Provides lateral access to the middle and posterior cranial fossae, [[cavernous-sinus]], petrous [[internal-carotid-artery|ICA]], and [[jugular-foramen]]. The zygomatic arch is removed and the mandibular condyle reflected to expose the fossa contents.	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What is the Cerebral Veins?	Superficial and deep venous drainage systems	rhoton::anatomy rhoton::vasculature rhoton::venous-system
What is the Tentorial Incisura?	Incisural spaces, transtentorial herniation	rhoton::anatomy rhoton::skull-base rhoton::cisterns
Surgical significance of the Tentorial Incisura?	The incisural spaces provide natural corridors for surgical approaches:	rhoton::anatomy rhoton::skull-base rhoton::cisterns
What is the Dural Venous Sinuses?	Sagittal, transverse, sigmoid, petrosal, confluence	rhoton::anatomy rhoton::venous-system rhoton::skull-base
Surgical significance of the Dural Venous Sinuses?	Sinus patency must be assessed preoperatively (MRV, CT venography) before planning division. Sacrifice of a dominant sinus causes venous hypertension, edema, and potential hemorrhagic infarction.	rhoton::anatomy rhoton::venous-system rhoton::skull-base
What is the Tentorium Cerebelli?	Dural fold, tentorial division, sinuses, herniation site	rhoton::anatomy rhoton::dura rhoton::skull-base
What is the Orbit?	Osseous walls, annular tendon, optic canal	rhoton::anatomy rhoton::skull-base rhoton::cranial-nerves
What anatomical region contains the Orbit?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::cranial-nerves
What is the Choroidal Fissure?	Fornix-thalamus cleft, transchoroidal corridor, AChA entry point	rhoton::lateral-ventricle rhoton::surgical-corridor rhoton::choroid-plexus
What anatomical region contains the Choroidal Fissure?	Lateral And Third Ventricles	rhoton::lateral-ventricle rhoton::surgical-corridor rhoton::choroid-plexus
Surgical significance of the Choroidal Fissure?	- **The single most important natural corridor to the third ventricle**	rhoton::lateral-ventricle rhoton::surgical-corridor rhoton::choroid-plexus
What is the Clivus?	Central skull base axis, petroclival region, chordomas	rhoton::anatomy rhoton::skull-base rhoton::posterior-fossa
What anatomical region contains the Clivus?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::posterior-fossa
What is the Corpus Callosum?	Commissural fibers, pericallosal artery, transcallosal access	rhoton::anatomy rhoton::cerebrum rhoton::white-matter
What anatomical region contains the Corpus Callosum?	Cerebrum	rhoton::anatomy rhoton::cerebrum rhoton::white-matter
Surgical significance of the Corpus Callosum?	The body of the corpus callosum is divided (callosotomy, typically 2–2.5 cm) to access the [[lateral-and-third-ventricles|lateral ventricle]] body and the foramen of Monro. Through the ventricle, the third ventricle is reached via transchoroidal or interforniceal routes. Excessive callosotomy causes	rhoton::anatomy rhoton::cerebrum rhoton::white-matter
What is the Sphenoid Bone?	Sella turcica, wings, foramina, sphenoid sinus	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What anatomical region contains the Sphenoid Bone?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
Surgical significance of the Sphenoid Bone?	The sphenoid sinus is the primary corridor. Landmarks: sphenoid ostia → sinus cavity → sellar floor → [[pituitary-gland]]. The carotid and optic prominences define the safe limits of bone removal.	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What is the Optic Radiation?	Meyer's loop, geniculocalcarine tract, visual field mapping	rhoton::visual-pathway rhoton::white-matter rhoton::temporal-lobe
What anatomical region contains the Optic Radiation?	Cerebrum	rhoton::visual-pathway rhoton::white-matter rhoton::temporal-lobe
Surgical significance of the Optic Radiation?	- **Anterior temporal lobectomy** — resection posterior to 4.5 cm from temporal pole (dominant) or 5.5 cm (non-dominant) minimizes Meyer's loop injury	rhoton::visual-pathway rhoton::white-matter rhoton::temporal-lobe
What is the Liliequist Membrane?	Arachnoid barrier, cisternal compartments, basilar apex	rhoton::anatomy rhoton::deep-structures rhoton::surgical-landmark
Surgical significance of the Liliequist Membrane?	During [[pterional-approach]] or [[orbitozygomatic-approach]] for basilar apex aneurysms:	rhoton::anatomy rhoton::deep-structures rhoton::surgical-landmark
What is the Meninges?	Dura folds, Liliequist membrane, arachnoid cistern boundaries	rhoton::anatomy rhoton::meninges rhoton::dura-mater
Surgical significance of the Meninges?	The dura is opened in every craniotomy as the first step to accessing the brain. Dural opening technique (C-shaped, cruciate, or linear) depends on the approach. The dura is reapproximated (primary closure or graft) to prevent CSF leak.	rhoton::anatomy rhoton::meninges rhoton::dura-mater
What is the Foramen Magnum?	Craniocervical junction, occipital bone, CVJ ligaments	rhoton::anatomy rhoton::skull-base rhoton::craniocervical-junction
What anatomical region contains the Foramen Magnum?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::craniocervical-junction
What is the Uncus?	Mesial temporal hook, uncal herniation, amygdala/hippocampal head	rhoton::mesial-temporal rhoton::tentorial-incisura rhoton::herniation
What anatomical region contains the Uncus?	Cerebrum	rhoton::mesial-temporal rhoton::tentorial-incisura rhoton::herniation
Surgical significance of the Uncus?	- The uncus is resected in selective amygdalohippocampectomy for mesial temporal epilepsy	rhoton::mesial-temporal rhoton::tentorial-incisura rhoton::herniation
What is the Cerebellar Peduncles?	Three fiber bundles, safe entry zones, fourth ventricle walls	rhoton::anatomy rhoton::posterior-fossa rhoton::deep-structures
What anatomical region contains the Cerebellar Peduncles?	Cerebellum	rhoton::anatomy rhoton::posterior-fossa rhoton::deep-structures
Surgical significance of the Cerebellar Peduncles?	The peduncles define several safe entry zones into the [[brainstem]]:	rhoton::anatomy rhoton::posterior-fossa rhoton::deep-structures
What is the Anterior Perforated Substance?	Lenticulostriate exit zone, aneurysm landmark	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
Surgical significance of the Anterior Perforated Substance?	The MCA bifurcation sits at or near the lateral edge of the APS (limen insulae). [[lenticulostriate-arteries]] arise from M1 and pass superiorly through the APS. During clip placement:	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What is the Cerebellomedullary Fissure?	Telovelar gateway, PICA guide, fourth ventricle access	rhoton::anatomy rhoton::posterior-fossa rhoton::surgical-landmark
What anatomical region contains the Cerebellomedullary Fissure?	Posterior Fossa	rhoton::anatomy rhoton::posterior-fossa rhoton::surgical-landmark
What is the Petrous Apex?	Kawase triangle, petroclival junction, Gradenigo syndrome	rhoton::anatomy rhoton::skull-base rhoton::temporal-bone
What anatomical region contains the Petrous Apex?	Temporal Bone	rhoton::anatomy rhoton::skull-base rhoton::temporal-bone
What is the Hippocampus?	Medial temporal lobe, choroidal fissure, epilepsy surgery	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What anatomical region contains the Hippocampus?	Cerebrum	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
Surgical significance of the Hippocampus?	The standard surgical procedure for mesial temporal lobe epilepsy (TLE). The hippocampal head and amygdala are resected through:	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What is the Insula?	Deep cortex, MCA territory, lenticulostriate perforators	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What anatomical region contains the Insula?	Cerebrum	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
Surgical significance of the Insula?	The insula is exposed by splitting the [[sylvian-fissure]] and retracting the opercula. The M2 branches coursing on the insular surface are the first arteries encountered. The arachnoid of the sylvian cistern must be carefully opened to avoid avulsing [[bridging-veins]].	rhoton::anatomy rhoton::cerebrum rhoton::deep-structures
What is the Cerebellum?	Three surfaces, fissures, peduncles, neurovascular complexes	rhoton::anatomy rhoton::posterior-fossa rhoton::cerebellum
What anatomical region contains the Cerebellum?	Posterior Fossa	rhoton::anatomy rhoton::posterior-fossa rhoton::cerebellum
Surgical significance of the Cerebellum?	Opens the cerebellomedullary fissure between the tonsil and the inferior medullary velum/tela choroidea. Follows the [[pica|PICA]] to access the fourth ventricle floor without vermian splitting. Used for fourth ventricle tumors (ependymomas, medulloblastomas).	rhoton::anatomy rhoton::posterior-fossa rhoton::cerebellum
What is the Interpeduncular Cistern?	Basilar apex hub, CN III origin, thalamoperforating territory	rhoton::cistern rhoton::basilar-apex rhoton::oculomotor-nerve
What anatomical region contains the Interpeduncular Cistern?	Basal Cisterns	rhoton::cistern rhoton::basilar-apex rhoton::oculomotor-nerve
Surgical significance of the Interpeduncular Cistern?	- The most challenging aneurysm location in neurosurgery	rhoton::cistern rhoton::basilar-apex rhoton::oculomotor-nerve
What is the Internal Capsule?	Projection fiber lamina, lenticulostriate territory, AChA syndrome	rhoton::white-matter rhoton::basal-ganglia rhoton::motor-pathway
What anatomical region contains the Internal Capsule?	Cerebrum	rhoton::white-matter rhoton::basal-ganglia rhoton::motor-pathway
Surgical significance of the Internal Capsule?	- The most common site of hypertensive intracerebral hemorrhage is the [[basal-ganglia|putamen]], with hematoma extending into and destroying the internal capsule	rhoton::white-matter rhoton::basal-ganglia rhoton::motor-pathway
What is the Basal Cisterns?	12 named cisterns, surgical access routes	rhoton::anatomy rhoton::cisterns rhoton::subarachnoid-space
Surgical significance of the Basal Cisterns?	The cisterns are accessed through standard neurosurgical approaches:	rhoton::anatomy rhoton::cisterns rhoton::subarachnoid-space
What is the Cerebral Aqueduct?	Midbrain channel, aqueductal stenosis, tectal plate	rhoton::anatomy rhoton::deep-structures rhoton::ventricular-system
What is the Fourth Ventricle?	Rhomboid fossa, choroid plexus, telovelar approach	rhoton::anatomy rhoton::posterior-fossa rhoton::ventricles
What anatomical region contains the Fourth Ventricle?	Posterior Fossa	rhoton::anatomy rhoton::posterior-fossa rhoton::ventricles
What is the Pterygopalatine Fossa?	V2/maxillary artery hub, 8 communications	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What anatomical region contains the Pterygopalatine Fossa?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
Surgical significance of the Pterygopalatine Fossa?	The PPF is accessed endoscopically through the sphenopalatine foramen (transpterygoid approach) or by removing the posterior maxillary wall. This corridor provides:	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What is the Posterior Cranial Fossa?	Cerebellum, brainstem, fourth ventricle, cerebellar arteries	rhoton::anatomy rhoton::skull-base rhoton::posterior-fossa
What is the Hypothalamus?	Third ventricle floor, perforator supply, craniopharyngioma	rhoton::anatomy rhoton::deep-structures rhoton::rhoton
What anatomical region contains the Hypothalamus?	Cerebrum	rhoton::anatomy rhoton::deep-structures rhoton::rhoton
Surgical significance of the Hypothalamus?	Craniopharyngiomas arise from Rathke's pouch remnants at the infundibulum/tuber cinereum. They are the most common tumors directly involving the hypothalamus. Surgery risks:	rhoton::anatomy rhoton::deep-structures rhoton::rhoton
What is the Temporal Bone?	Petrous pyramid, IAC, mastoid, jugular foramen	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What anatomical region contains the Temporal Bone?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::cranial-base
What is the Paranasal Sinuses?	Sphenoid sinus landmarks, endonasal corridor	rhoton::anatomy rhoton::skull-base rhoton::sellar-region
What anatomical region contains the Paranasal Sinuses?	Cranial Base	rhoton::anatomy rhoton::skull-base rhoton::sellar-region
