iteration	commit	metric	delta	guard	guard_code	status	description
35	-	1966	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/microscope-and-mouthpiece
36	-	2006	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/surgeons-philosophy-and-operating-position
37	-	2067	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/operating-room-setup-and-workflow
38	-	2110	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/lumbar-drain
39	-	2152	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/external-ventricular-drain
40	-	2189	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/ventricular-shunt-reference
41	-	2236	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/preoperative-evaluation
42	-	2284	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/postoperative-care
43	-	2331	+	pass	-	kept	phase-D: ingest principles-of-cranial-surgery/suturing-and-closure
44	8f3d8ee	2451	+120	pass	0	kept	phase-E1 iter40 — ingest brain-tumors/general-principles
45	-	2451	+120	pass	-	kept	phase-E2: ingest csf-diversion-procedures/endoscopic-third-ventriculostomy
46	8726af1	2507	+56	pass	0	kept	phase-E1 iter41 — ingest brain-tumors/principles-of-intraventricular-surgery
47	-	2554	+103	pass	-	kept	phase-E2: ingest csf-diversion-procedures/external-ventricular-drain-placement
48	3970181	2602	+95	pass	0	kept	phase-E1 iter42 — ingest cerebrovascular-surgery/microscope-and-mouthpiece
49	e1c343d	2723	+121	pass	0	kept	phase-E1 iter43 — ingest cranial-base-surgery/anterior-petrosectomy
50	-	2723	+169	pass	-	kept	phase-E2: ingest csf-diversion-procedures/ventriculo-peritoneal-shunt
51	-	2766	+43	pass	-	kept	phase-E2: ingest csf-diversion-procedures/ventriculo-atrial-shunt
52	8135a8c	2842	+119	pass	0	kept	phase-E1 iter44 — ingest cranial-base-surgery/general-principles
53	-	2878	+?	pass	-	kept	phase-E2: ingest csf-diversion-procedures/ventriculo-pleural-shunt
54	-	2916	keep	pass	-	kept	phase-E2: ingest csf-diversion-procedures/ventriculo-gallbladder-shunt
55	-	2957	keep	pass	-	kept	phase-E2: ingest csf-diversion-procedures/csf-ventricular-shunt-reference
56	-	3004	keep	pass	-	kept	phase-E2: ingest emergency-neurosurgery-and-trauma/decompressive-craniectomy
57	-	3046	keep	pass	-	kept	phase-E2: ingest emergency-neurosurgery-and-trauma/lacerated-dural-venous-sinus-repair
58	-	3114	keep	pass	-	kept	phase-E2: iter68 finalized (index + tag fix)
59	-	3144	+184	pass	-	kept	phase-E1-resume iter45 — ingest cranial-base-surgery-lessons-learned
60	-	3186	keep	pass	-	kept	phase-E2: ingest emergency-neurosurgery-and-trauma/open-skull-fracture
61	-	3281	keep	pass	-	kept	phase-E2: ingest epilepsy-surgery/hypothalamic-hamartoma
62	-	3281	+137	pass	-	kept	phase-E1-resume iter46 — ingest medial-sphenoid-wing-meningioma
63	-	3319	keep	pass	-	kept	phase-E2: ingest epilepsy-surgery/intracranial-monitoring-study
64	-	3434	keep	pass	-	kept	phase-E2: ingest epilepsy-surgery/peri-insular-hemispherotomy
65	-	3434	+153	pass	-	kept	phase-E1-resume iter47 — ingest cranial-base-preoperative-considerations
66	-	3469	keep	pass	-	kept	phase-E2: ingest epilepsy-surgery/selection-of-surgical-candidates
67	-	3535	+101	pass	-	kept	phase-E1-resume iter48 — ingest cranial-base-operative-corridor-selection
68	-	3589	keep	pass	-	kept	phase-E2: ingest microsurgical-mastery/passion-for-technical-excellence
69	-	3662	-	pass	-	kept	phase-E1-resume iter49 — ingest geniculate-neuralgia
70	-	3662	keep	pass	-	kept	phase-E2: ingest spinal-cord-surgery/operative-spinal-cord-anatomy
71	-	3739	-	pass	-	kept	phase-E1-resume iter50 — ingest glossopharyngeal-neuralgia
72	-	3739	keep	pass	-	kept	phase-E2: ingest spinal-cord-surgery/extramedullary-spinal-cord-tumor
73	-	3778	-	pass	-	kept	phase-E1-resume iter51 — ingest hemifacial-spasm
74	-	3815	keep	pass	-	kept	phase-E2: ingest spinal-cord-surgery/intramedullary-spinal-cord-tumor
75	-	3854	-	pass	-	kept	phase-E1-resume iter52 — ingest menieres-disease
76	-	3888	keep	pass	-	kept	phase-E2: ingest spinal-cord-surgery/spinal-av-fistula-disconnection
77	-	3970	-	pass	-	kept	phase-E1-resume iter53 — ingest trigeminal-neuralgia-mvd
78	-	3970	keep	pass	-	kept	phase-E2: ingest spinal-cord-surgery/spinal-cord-avm
79	-	4045	-	pass	-	kept	phase-E1-resume iter54 — ingest dysplastic-cerebellar-gangliocytoma
80	-	4045	keep	pass	-	kept	phase-E2: ingest spinal-cord-surgery/spinal-cord-cavernous-malformation
81	-	4075	-	pass	-	kept	phase-E1-resume iter55 — ingest progressive-multifocal-leukoencephalopathy
82	-	4119	-	pass	-	kept	phase-E1-resume iter56 — ingest neuroradiology-imaging-modalities
83	-	4153	-	pass	-	kept	phase-E1-resume iter57 — ingest neuroradiology-preface
84	-	4193	-	pass	-	kept	phase-E1-resume iter58 — ingest imaging-sah-and-aneurysm
85	0f16547	4204	+11	pass	0	keep	C2 iter81 — expand ventriculo-gallbladder-shunt
86	-	4204	0	pass	-	discard	C2 iter82 — neuroradiology-preface: no extract headroom (source thin, page already exceeds)
87	53845f0	4211	+7	pass	0	keep	C2 iter83 — expand ventriculo-pleural-shunt
88	e70d0a0	4221	+10	pass	0	keep	C2 iter84 — expand ventriculo-atrial-shunt
89	d9eb4f8	4236	+15	pass	0	keep	C2 iter85 — expand epilepsy-surgery-candidate-selection
90	da1db06	4243	+7	pass	0	keep	C2 iter86 — expand hypothalamic-hamartoma-surgery
91	d7f3e16	4249	+6	pass	0	keep	C2 iter87 — expand peri-insular-hemispherotomy
92	eef5666	4254	+5	pass	0	keep	C2 iter88 — expand spinal-cord-avm-surgery
93	d26daf0	4262	+8	pass	0	keep	C2 iter89 — expand open-skull-fracture-management
94	1e3d96c	4269	+7	pass	0	keep	C2 iter90 — expand microsurgical-mastery
95	87895f9	4276	+7	pass	0	keep	C2 iter91 — expand spinal-av-fistula-disconnection
96	5634071	4282	+6	pass	0	keep	C2 iter92 — expand hemifacial-spasm
97	990f120	4287	+5	pass	0	keep	C2 iter93 — expand glossopharyngeal-neuralgia
98	34770e1	4291	+4	pass	0	keep	C2 iter94 — expand menieres-disease
99	1c4a00c	4296	+5	pass	0	keep	C2 iter95 — expand geniculate-neuralgia
100	d1fccdb	4302	+6	pass	0	keep	C2 iter96 — expand decompressive-craniectomy
101	5b8ef6a	4308	+6	pass	0	keep	C2 iter97 — expand lacerated-dural-venous-sinus-repair
102	78a381c	4314	+6	pass	0	keep	C2 iter98 — expand spinal-cord-cavernous-malformation-resection
103	7ba7779	4319	+5	pass	0	keep	C2 iter99 — expand external-ventricular-drain-placement
104	17b8687	4329	+10	pass	0	keep	C2 iter100 — expand operative-spinal-cord-anatomy
105	7181437	4335	+6	pass	0	keep	C2 iter101 — expand extramedullary-spinal-cord-tumor-resection
106	ef3c47c	4339	+4	pass	0	keep	C2 iter102 — expand intramedullary-spinal-cord-tumor-resection
107	c466402	4342	+3	pass	0	keep	C2 iter103 — expand dural-opening-and-closure
108	bd830c5	4351	+9	pass	0	keep	C2 iter104 — expand brain-mobilization-and-protection
109	8c0b324	4353	+2	pass	0	keep	C2 iter105 — expand surgeons-philosophy-and-operating-position
110	1e169b1	4357	+4	pass	0	keep	C2 iter106 — expand operating-room-setup-and-workflow
111	5ab8efc	4359	+2	pass	0	keep	C2 iter107 — expand 3d-anatomy
112	9dcab05	4362	+3	pass	0	keep	C2 iter108 — expand instrumentation
113	b13ce21	4364	+2	pass	0	keep	C2 iter109 — expand principles-of-intraventricular-surgery
114	ea9aa1b	4367	+3	pass	0	keep	C2 iter110 — expand subarachnoid-dissection
115	4d3e681	4372	+5	pass	0	keep	C2 iter111 — expand intraoperative-hemostasis
116	d610302	4375	+3	pass	0	keep	C2 iter112 — expand bifrontal-craniotomy
117	47842e8	4379	+4	pass	0	keep	C2 iter113 — expand supraorbital-craniotomy
118	02608bc	4383	+4	pass	0	keep	C2 iter114 — expand trigeminal-neuralgia-mvd
119	ce1b57f	4387	+4	pass	0	keep	C2 iter115 — expand imaging-sah-and-aneurysm
120	1df6df8	4389	+2	pass	0	keep	C2 iter116 — expand cranial-base-operative-corridor-selection
121	d9988e3	4394	+5	pass	0	keep	C2 iter117 — expand neuroradiology-imaging-modalities
122	f4842ed	4398	+4	pass	0	keep	C2 iter118 — expand cranial-base-surgery-general-principles
123	5db575c	4403	+5	pass	0	keep	C2 iter119 — expand cranial-base-preoperative-considerations
125	-		+56	pass	0	keep	C2 iter125 — create orbitozygomatic-craniotomy (OZ variants, basilar apex access)
126	-		+40	pass	0	keep	C2 iter126 — create microvascular-decompression-for-trigeminal-neuralgia
127	-		+41	pass	0	keep	C2 iter127 — create lateral-sphenoid-wing-meningioma
128	-		+	pass	0	keep	C2 iter128 — create convexity-meningioma
129	-		+	pass	0	keep	C2 iter129 — create acoustic-neuroma (vestibular schwannoma)
130	-	4636	+44	pass	0	keep	C2 iter130: cerebellopontine-angle (CPA anatomy — CN V/VII/VIII/IX-X-XI + AICA loop; CPA pathology)
131	-	4668	+32	pass	0	keep	C2 iter131: circle-of-willis (heptagonal polygon, variants, aneurysm distribution, collaterals)
132	-	4697	+29	pass	0	keep	C2 iter132: pineal-region-tumors (GCT / pineocytoma / pineoblastoma — markers, Parinaud, Krause vs Poppen)
133	-	4733	+36	pass	0	keep	C2 iter133: posterior-petrosectomy (retrolabyrinthine/trans/transcochlear ladder; combined petrosal)
134	-	4760	+27	pass	0	keep	C2 iter134: ec-ic-bypass (STA-MCA workhorse; moyamoya indirect; flow-replacement ladder)
135	-	4785	+25	pass	0	keep	C2 iter135: foramen-of-monro (Y-aperture, venous angle; colloid cyst, ETV, SEGA, septostomy)
136	-	4838	+53	pass	0	keep	C2 iter136 create subarachnoid-hemorrhage (Hunt-Hess/Fisher/WFNS; rebleed/vasospasm/DCI; clip vs coil)
137	-	4890	+52	pass	0	keep	C2 iter137 create vasospasm-management (tiered: nimodipine → induced HTN → IA vasodilator/angioplasty)
